"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF***,REF***,REF***,REF***";"ESD-Logo_8.9x8mm_SilkScreen";4;"ESD-Logo_8.9x8mm_SilkScreen";;;
2;"G***,G***,G***,G***,G***,G***,G***,G***,G***";"Logo_silk_high_voltage_10x8.5mm";9;"LOGO";;;
3;"C201,C406,C409,C501,C601,C801,C901,C1101,C1201,C1204,C1301,C1304,C1307,C1401";"C_0402";14;"0.1uF";;;
4;"C202,C410,C502,C602,C802,C902,C1102,C1202,C1205,C1302,C1305,C1308,C1402";"C_0402";13;"10nF";;;
5;"C203,C411,C503,C603,C803,C903,C1103,C1203,C1206,C1303,C1306,C1309,C1403";"C_0402";13;"1nF";;;
6;"C301";"C_0402";1;"0.47uF";;;
7;"C302";"C_1206";1;"4.7uF";;;
8;"C303";"C_0805";1;"22uF";;;
9;"C304";"C_0402";1;"15pF";;;
10;"C401,C402,C404";"C_0805";3;"0.1uF";;;
11;"C403";"C_2220";1;"2.2uF";;;
12;"C405";"C_1206";1;"10uF";;;
13;"C407";"C_0805";1;"4.7uF";;;
14;"C408";"C_0402";1;"6.8nF";;;
15;"C504,C505";"C_0402";2;"12pF";;;
16;"C701";"CP_Tantalum_Case-B_EIA-3528-21_Reflow";1;"100uF";;;
17;"C702";"C_0402";1;"2.2uF";;;
18;"C703";"C_1206";1;"2.2uF";;;
19;"C704,C705";"MAL219691214E3";2;"15F";;;
20;"D201,D202,D401,D402,D403,D1204,D1205";"D_SOD-123F";7;"SMD1200PL";;;
21;"D203,D1206,D1501";"D_SOD-323";3;"3.3V";;;
22;"D1201";"LED_0603";1;"PGOOD";;;
23;"D1202";"LED_0603";1;"Error";;;
24;"D1203";"LED_0603";1;"Tick";;;
25;"D1207";"LED_0603";1;"Enable";;;
26;"F201";"R_1206";1;"3A";;;
27;"J201";"BARREL_JACK";1;"Power Input";;;
28;"J501";"Pin_Header_Angled_1x06_Pitch2.54mm";1;"PicKit3_Header";;;
29;"J1201";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Display";;;
30;"J1301";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Seconds";;;
31;"J1302";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Minutes";;;
32;"J1303";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Hours";;;
33;"J1501";"Socket_Strip_Straight_1x11_Pitch2.54mm";1;"Cathodes";;;
34;"J1502";"Socket_Strip_Straight_1x06_Pitch2.54mm";1;"Anodes";;;
35;"J1503";"Socket_Strip_Straight_1x06_Pitch2.54mm";1;"Aux";;;
36;"JP1201";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"12Hr";;;
37;"JP1501";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"ForceConnSense";;;
38;"L301";"IHLP-2525CZ-01";1;"10uH";;;
39;"L401";"Wurth_7447709681";1;"680uH";;;
40;"L1401";"R_0402";1;"BKP1005HS121-T";;;
41;"Q201";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"Si4946";;;
42;"Q401";"SOT-223_3";1;"IRFL214";;;
43;"Q701";"SOT-23";1;"DMP3099L";;;
44;"Q901,Q902,Q903,Q904,Q905,Q906,Q907,Q908,Q909,Q910,Q911,Q1003,Q1004,Q1007,Q1008,Q1011,Q1012,Q1101,Q1102";"SOT-323_SC-70";19;"MMSTA42";;;
45;"Q1001,Q1002,Q1005,Q1006,Q1009,Q1010";"SOT-323_SC-70";6;"MMSTA92";;;
46;"Q1201,Q1202,Q1203,Q1204";"SOT-323_SC-70";4;"DMG1012UW";;;
47;"R201,R1001,R1002,R1009,R1010,R1017,R1018,R1102,R1105,R1203,R1208,R1209,R1214";"R_0402";13;"100k";;;
48;"R202,R207,R301,R304,R409,R502,R706,R707";"R_0402";8;"1M";;;
49;"R203,R305";"R_0402";2;"1.3M";;;
50;"R204,R208,R302,R402,R413,R602,R603,R604,R605,R606,R708,R710,R802,R803,R804,R805,R904,R1101,R1104,R1202,R1207,R1302,R1304,R1306,R1504";"R_0402";25;"100";;;
51;"R205";"R_0402";1;"4.64k";;;
52;"R206";"R_0402";1;"25.5k";;;
53;"R303";"R_0402";1;"2.2M";;;
54;"R306";"R_0402";1;"115k";;;
55;"R401";"R_2512";1;"27k";;;
56;"R403,R501,R601,R607,R608,R609,R610,R712,R801,R806,R807,R808,R903,R908,R1005,R1006,R1013,R1014,R1021,R1022,R1103,R1106,R1201,R1205,R1206,R1212,R1213,R1216,R1301,R1303,R1305,R1501";"R_0402";32;"10k";;;
57;"R404";"R_0805";1;"0.16";;;
58;"R405";"R_0603";1;"1.5M";;;
59;"R406";"R_0402";1;"14k";;;
60;"R407";"R_0603";1;"27k";;;
61;"R408";"R_0402";1;"22k";;;
62;"R410";"R_0402";1;"1.6M";;;
63;"R411";"R_0402";1;"330";;;
64;"R412";"R_0402";1;"3.3k";;;
65;"R701";"R_0402";1;"1.96M";;;
66;"R702";"R_0402";1;"255k";;;
67;"R703,R711";"R_0402";2;"1.21M";;;
68;"R704";"R_0402";1;"80.6k";;;
69;"R705";"R_0402";1;"0";;;
