Source:,C:\Users\drewm\OneDrive\Documents\KiCad Projects\Projects\Nixie_Clock\rev_b\hdw\IN12_carrier\IN12_carrier\IN12_carrier.kicad_sch,,,,,,,,,,,,,,,,
Date:,7/18/2023 22:20,,,,,,,,,,,,,,,,
Tool:,Eeschema 7.0.1,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,
Component Count:,249,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Config,Configuration,Dielectric,Digi-Key PN,Footprint Display,Sim.Enable,Tolerance,Voltage,Wattage,display_footprint
1,9,"C301, C302, C303, C701, C702, C703, C704, C705, C706",10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,ETC,X5R,PN,,,,10V,,603
2,17,"C304, C305, C707, C708, C709, C1001, C1002, C1003, C1004, C1005, C1006, C1011, C1012, C1013, C1014, C1015, C1017",0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,ETC,X7R,PN,,,,50V,,603
3,5,"C1007, C1008, C1009, C1010, C1016",10nF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,X7R,PN,,,,50V,,603
4,1,D301,BAT48JFILM,Diode:BAT48JFILM,Diode_SMD:D_SOD-323,www.st.com/resource/en/datasheet/bat48.pdf,,,ETC,,,,,,,,
5,8,"D701, D702, D703, D704, D705, D706, D707, D708",ASMB-MTB0-0A3A2,LED:ASMB-MTB0-0A3A2,LED_SMD:LED_Avago_PLCC4_3.2x2.8mm_CW,https://docs.broadcom.com/docs/AV02-4186EN,,,,,516-3279-1-ND,,,,,,
6,12,"D901, D1001, D1002, D1003, D1004, D1005, D1006, D1007, D1008, D1009, D1010, D1011",Orange,Device:LED,LEDs:LED_0603,~,,,,,,,,,,,
7,1,DOC301,0x6F,Custom_Library:I2C_Address,,,,,,,,,,,,,
8,1,DOC701,0x14,Custom_Library:I2C_Address,,,,,,,,,,,,,
9,1,DOC702,0x15,Custom_Library:I2C_Address,,,,,,,,,,,,,
10,1,DOC703,0x16,Custom_Library:I2C_Address,,,,,,,,,,,,,
11,1,DOC1001,0x50,Custom_Library:I2C_Address,,,,,,,,,,,,,
12,1,DOC1002,0x27,Custom_Library:I2C_Address,,,,,,,,,,,,,
13,8,"H1201, H1202, H1203, H1204, H1205, H1206, H1207, H1208",MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~,,,,,,,,,,,
14,1,J201,Conn_02x32_Top_Bottom,Connector_Generic:Conn_02x32_Top_Bottom,Custom Footprints Library:CONN_5120528-1_TYC,~,,,,,A104089CT-ND,,,,,,
15,1,J1001,Cap SNS,Connector_Generic:Conn_01x05,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal,~,,,,,,,,,,,
16,24,"MK1101, MK1102, MK1103, MK1104, MK1105, MK1106, MK1109, MK1110, MK1111, MK1112, MK1113, MK1114, MK1117, MK1118, MK1119, MK1120, MK1121, MK1122, MK1125, MK1126, MK1127, MK1128, MK1129, MK1130",Standoff,Custom_Library:Standoff,,,,,,,1772-2080-ND,,,,,,
17,16,"MK1107, MK1108, MK1115, MK1116, MK1123, MK1124, MK1131, MK1132, MK1133, MK1134, MK1135, MK1136, MK1137, MK1138, MK1139, MK1140",Screw,Custom_Library:Screw,,,,,,,36-9900-ND,,,,,,
18,21,"Q401, Q402, Q403, Q407, Q408, Q409, Q501, Q502, Q503, Q504, Q505, Q506, Q507, Q508, Q509, Q510, Q511, Q512, Q513, Q514, Q515",MMSTA42,Nixie-Clock-rescue:Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-323_SC-70,,,,,,,SOT-323,,,,,
19,6,"Q404, Q405, Q406, Q410, Q411, Q412",MMSTA92,Nixie-Clock-rescue:Q_PNP_BEC,TO_SOT_Packages_SMD:SOT-323_SC-70,,,,,,,SOT-323,,,,,
20,30,"R301, R302, R305, R401, R402, R403, R413, R414, R415, R501, R502, R503, R504, R505, R506, R507, R508, R509, R510, R511, R512, R513, R515, R516, R701, R1012, R1013, R1014, R1015, R1020",10k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,ETC,,PN,,,1%,,1/10W,603
21,1,R303,392k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,ETC,,PN,,,1%,,1/10W,603
22,1,R304,1M,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,ETC,,PN,,,1%,,1/10W,603
23,23,"R404, R405, R406, R416, R417, R418, R801, R802, R803, R804, R805, R806, R807, R808, R809, R810, R811, R812, R813, R814, R815, R816, R817",470k,Custom Library:R_Custom,Resistors_SMD:R_0805,,,,,,PN,,,1%,,1/8W,805
24,6,"R407, R408, R409, R419, R420, R421",100k,Custom Library:R_Custom,Resistors_SMD:R_0805,,,,,,PN,,,1%,,1/8W,805
25,7,"R410, R411, R412, R422, R423, R424, R514",18k,Custom Library:R_Custom,Resistors_SMD:R_0805,,,,,,PN,,,1%,,1/8W,805
26,4,"R601, R602, R603, R604",10k,Nixie-Clock-rescue:R,Resistors_SMD:R_0805,,,,,,,,,1%,,1/10W,805
27,3,"R704, R705, R706",3.65k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,PN,,,1%,,1/10W,603
